match_status,match_type,chords_page,chords_title,chords_file,melody_page,melody_title,melody_file
both,exact,29,BACK_IN_YOUR_OLD_BACKYARD,29_01_BACK_IN_YOUR_OLD_BACKYARD.png,50,BACK_IN_YOUR_OLD_BACKYARD,50_01_BACK_IN_YOUR_OLD_BACKYARD.png
both,exact,29,BACK_WATER_BLUES,29_02_BACK_WATER_BLUES.png,50,BACK_WATER_BLUES,50_02_BACK_WATER_BLUES.png
both,exact,29,BAGS_GROOVE,29_03_BAGS_GROOVE.png,51,BAGS_GROOVE,51_01_BAGS_GROOVE.png
both,exact,29,BALLIN_THE_JACK,29_03_BALLIN_THE_JACK.png,51,BALLIN_THE_JACK,51_02_BALLIN_THE_JACK.png
both,exact,29,BARBADOS,29_04_BARBADOS.png,53,BARBADOS,53_01_BARBADOS.png
both,exact,30,BALTIMORE,30_01_BALTIMORE.png,52,BALTIMORE,52_01_BALTIMORE.png
both,exact,30,BASIN_STREET_BLUES,30_04_BASIN_STREET_BLUES.png,53,BASIN_STREET_BLUES,53_02_BASIN_STREET_BLUES.png
both,exact,30,BATTLE_HYMN_OF_THE_REPUBLIC,30_05_BATTLE_HYMN_OF_THE_REPUBLIC.png,54,BATTLE_HYMN_OF_THE_REPUBLIC,54_01_BATTLE_HYMN_OF_THE_REPUBLIC.png
both,exact,31,BAUBLES_BANGLES_AND_BEADS,31_01_BAUBLES_BANGLES_AND_BEADS.png,54,BAUBLES_BANGLES_AND_BEADS,54_02_BAUBLES_BANGLES_AND_BEADS.png
both,exact,31,BEALE_STREET_BLUES,31_02_BEALE_STREET_BLUES.png,55,BEALE_STREET_BLUES,55_01_BEALE_STREET_BLUES.png
both,exact,31,BEALE_STREET_MAMA,31_03_BEALE_STREET_MAMA.png,56,BEALE_STREET_MAMA,56_01_BEALE_STREET_MAMA.png
both,exact,32,BEAU_KOO_JACK,32_01_BEAU_KOO_JACK.png,57,BEAU_KO0_JACK,57_01_BEAU_KO0_JACK.png
both,exact,32,BEAUTIFUL_LOVE,32_02_BEAUTIFUL_LOVE.png,58,BEAUTIFUL_LOVE,58_01_BEAUTIFUL_LOVE.png
both,exact,32,BE_BOP,32_03_BE_BOP.png,59,BEBOP,59_01_BEBOP.png
both,exact,33,BECAUSE_OF_YOU,33_01_BECAUSE_OF_YOU.png,58,BECAUSE_OF_YOU,58_02_BECAUSE_OF_YOU.png
both,exact,33,BEGIN_THE_BEGUINE,33_02_BEGIN_THE_BEGUINE.png,60,BEGIN_THE_BEGUINE,60_01_BEGIN_THE_BEGUINE.png
both,exact,34,BEI_MIR_BIST_DU_SCHOEN,34_01_BEI_MIR_BIST_DU_SCHOEN.png,61,BEI_MIR_BIST_DU_SCHOEN,61_01_BEI_MIR_BIST_DU_SCHOEN.png
